,area (um^2),equivalent_diameter (um),major_axis_length (um),minor_axis_length (um),min_intensity_Fe_Ka,mean_intensity_Fe_Ka,max_intensity_Fe_Ka,O_Ka_min_intensity,O_Ka_mean_intensity,O_Ka_max_intensity
0,0.055,0.264,0.324,0.187,0.028,0.063,0.094,0.04,0.074,0.1
1,4.097,2.284,3.171,1.763,0.0,0.082,0.175,0.0,0.065,0.137
2,0.34,0.658,0.863,0.569,0.029,0.064,0.097,0.027,0.089,0.136
3,0.011,0.118,0.0,0.0,0.059,0.059,0.059,0.076,0.076,0.076
4,0.197,0.501,1.033,0.304,0.041,0.076,0.114,0.063,0.087,0.112
5,0.011,0.118,0.0,0.0,0.086,0.086,0.086,0.115,0.115,0.115
6,0.022,0.167,0.209,0.0,0.038,0.047,0.055,0.082,0.09,0.098
7,0.131,0.409,0.462,0.353,0.048,0.078,0.121,0.053,0.088,0.132
8,2.191,1.67,3.599,0.978,0.025,0.08,0.157,0.009,0.088,0.156
9,0.307,0.625,0.668,0.613,0.025,0.063,0.11,0.032,0.064,0.11
10,0.252,0.566,0.628,0.524,0.024,0.081,0.157,0.0,0.024,0.07
11,0.197,0.501,0.658,0.414,0.029,0.065,0.12,0.009,0.041,0.078
12,0.055,0.264,0.324,0.187,0.044,0.063,0.092,0.027,0.059,0.085
13,4.535,2.403,2.82,2.178,0.03,0.09,0.161,0.012,0.08,0.157
14,0.022,0.167,0.209,0.0,0.049,0.055,0.061,0.074,0.078,0.082
15,0.745,0.974,1.584,0.659,0.019,0.064,0.112,0.027,0.08,0.133
16,0.077,0.312,0.423,0.253,0.011,0.051,0.073,0.023,0.053,0.068
17,0.011,0.118,0.0,0.0,0.05,0.05,0.05,0.014,0.014,0.014
18,0.164,0.457,0.85,0.354,0.015,0.063,0.115,0.022,0.05,0.093
19,0.12,0.392,0.726,0.275,0.038,0.059,0.097,0.024,0.063,0.113
20,0.515,0.81,1.029,0.721,0.018,0.059,0.095,0.021,0.052,0.085
21,0.252,0.566,0.648,0.488,0.041,0.085,0.188,0.009,0.037,0.063
22,0.044,0.236,0.296,0.181,0.053,0.08,0.116,0.085,0.096,0.103
23,0.066,0.289,0.342,0.209,0.041,0.056,0.077,0.046,0.056,0.068
24,0.022,0.167,0.209,0.0,0.035,0.053,0.071,0.032,0.042,0.053
25,0.011,0.118,0.0,0.0,0.013,0.013,0.013,0.039,0.039,0.039
26,0.186,0.487,0.674,0.358,0.029,0.064,0.098,0.033,0.071,0.125
27,0.548,0.835,1.013,0.784,0.007,0.066,0.129,0.0,0.037,0.075
28,0.011,0.118,0.0,0.0,0.04,0.04,0.04,0.116,0.116,0.116
29,0.142,0.426,0.509,0.372,0.037,0.064,0.089,0.06,0.091,0.13
30,0.022,0.167,0.209,0.0,0.032,0.06,0.088,0.068,0.092,0.115
